'Row_Id','IdDepartamento','IdAño','PIB'
382,14,37,8891000000
383,15,37,10869000000
384,16,37,28904000000
385,17,37,12760000000
386,18,37,13041000000
387,27,37,3450000000
388,19,37,6624000000
389,20,37,13027000000
390,28,37,1305000000
391,21,37,53175000000
392,22,37,6807000000
393,23,37,17708000000
394,24,37,80022000000
395,32,37,236000000
396,33,37,529000000
397,29,38,630000000
398,1,38,120973000000
399,25,38,4168000000
400,2,38,36779000000
401,3,38,214484000000
402,4,38,30271000000
403,5,38,22574000000
404,6,38,13043000000
405,7,38,3454000000
406,26,38,12960000000
407,8,38,14876000000
408,9,38,16123000000
409,12,38,3482000000
410,10,38,13920000000
411,11,38,50409000000
412,30,38,304000000
413,31,38,692000000
414,13,38,13212000000
415,14,38,8996000000
416,15,38,10990000000
417,16,38,29022000000
418,17,38,12441000000
419,18,38,12940000000
420,27,38,3386000000
421,19,38,6736000000
422,20,38,13202000000
423,28,38,1343000000
424,21,38,54065000000
425,22,38,6982000000
426,23,38,17936000000
427,24,38,81447000000
428,32,38,239000000
429,33,38,541000000
430,29,39,648000000
431,1,39,125173000000
432,25,39,4293000000
433,2,39,37610000000
434,3,39,221652000000
435,4,39,30804000000
436,5,39,23237000000
437,6,39,13395000000
438,7,39,3525000000
439,26,39,13291000000
440,8,39,15139000000
441,9,39,16090000000
442,12,39,3202000000
443,10,39,14196000000
444,11,39,51551000000
445,30,39,313000000
446,31,39,693000000
447,13,39,13369000000
448,14,39,8977000000
449,15,39,11248000000
450,16,39,29404000000
451,17,39,12643000000
452,18,39,13347000000
453,27,39,3393000000
454,19,39,6793000000
455,20,39,13551000000
456,28,39,1373000000
457,21,39,54942000000
458,22,39,7108000000
459,23,39,18120000000
460,24,39,84172000000
461,32,39,248000000
462,33,39,556000000
463,29,40,666000000
464,1,40,129672000000
465,25,40,4596000000
466,2,40,38690000000
467,3,40,229314000000
468,4,40,31920000000
469,5,40,23732000000
470,6,40,13798000000
471,7,40,3596000000
472,26,40,13493000000
473,8,40,15614000000
474,9,40,16646000000
475,12,40,3341000000
476,10,40,14774000000
477,11,40,52890000000
478,30,40,322000000
479,31,40,715000000
480,13,40,13754000000
481,14,40,8955000000
482,15,40,11525000000
483,16,40,30800000000
484,17,40,13064000000
485,18,40,13550000000
486,27,40,3284000000
487,19,40,6968000000
488,20,40,13969000000
489,28,40,1416000000
490,21,40,56515000000
491,22,40,7366000000
492,23,40,18512000000
493,24,40,87023000000
494,32,40,257000000
495,33,40,581000000
496,29,41,616000000
497,1,41,120976000000
498,25,41,4567000000
499,2,41,36170000000
500,3,41,214021000000
501,4,41,28590000000
502,5,41,21504000000
503,6,41,13084000000
504,7,41,3378000000
505,26,41,12242000000
506,8,41,14596000000
507,9,41,14251000000
508,12,41,3282000000
509,10,41,13873000000
510,11,41,49544000000
511,30,41,294000000
512,31,41,686000000
513,13,41,13055000000
514,14,41,6834000000
515,15,41,10862000000
516,16,41,28011000000
517,17,41,12543000000
518,18,41,12799000000
519,27,41,2823000000
520,19,41,6541000000
521,20,41,13138000000
522,28,41,1136000000
523,21,41,51372000000
524,22,41,6944000000
525,23,41,17153000000
526,24,41,81859000000
527,32,41,242000000
528,33,41,557000000
529,29,42,671000000
530,1,42,137602000000
531,25,42,4779000000
532,2,42,40784000000
533,3,42,238099000000
534,4,42,32640000000
535,5,42,23469000000
536,6,42,14544000000
537,7,42,3659000000
538,26,42,12499000000
539,8,42,16145000000
540,9,42,14806000000
541,12,42,3548000000
542,10,42,15240000000
543,11,42,55339000000
544,30,42,333000000
545,31,42,743000000
546,13,42,14154000000
547,14,42,8762000000
548,15,42,12082000000
549,16,42,28688000000
550,17,42,13797000000
551,18,42,14211000000
552,27,42,3111000000
553,19,42,7334000000
554,20,42,14742000000
555,28,42,1401000000
556,21,42,56491000000
557,22,42,7714000000
558,23,42,18799000000
559,24,42,90216000000
560,32,42,267000000
561,33,42,608000000
562,29,43,712000000
563,1,43,147074000000
564,25,43,4815000000
565,2,43,44579000000
566,3,43,260789000000
567,4,43,35442000000
568,5,43,24979000000
569,6,43,15432000000
570,7,43,3766000000
571,26,43,12715000000
572,8,43,17053000000
573,9,43,15546000000
574,12,43,3658000000
575,10,43,16211000000
576,11,43,59653000000
577,30,43,337000000
578,31,43,775000000
579,13,43,14754000000
580,14,43,8478000000
581,15,43,12797000000
582,16,43,30146000000
583,17,43,14493000000
584,18,43,15261000000
585,27,43,3373000000
586,19,43,7800000000
587,20,43,16048000000
588,28,43,1565000000
589,21,43,59507000000
590,22,43,8111000000
591,23,43,19599000000
592,24,43,97491000000
593,32,43,272000000
594,33,43,615000000
