'Row_Id';'IdAño';'IdDepartamento';'IDH'
172;16;5;0.599
173;16;6;0.649
174;16;7;0.605
175;16;26;0.716
176;16;8;0.596
177;16;9;0.591
178;16;12;0.603
179;16;10;0.59
180;16;11;0.602
181;16;30;0.666
182;16;14;0.6
183;16;31;0.647
184;16;13;0.633
185;16;15;0.613
186;16;16;0.6900000000000001
187;16;17;0.55
188;16;18;0.646
189;16;27;0.6950000000000001
190;16;19;0.684
191;16;20;0.673
192;16;28;0.727
193;16;21;0.621
194;16;22;0.5670000000000001
195;16;23;0.605
196;16;24;0.67
197;16;32;0.682
198;16;33;0.666
199;17;29;0.71
200;17;1;0.652
201;17;25;0.68
202;17;2;0.679
203;17;3;0.724
204;17;4;0.653
205;17;5;0.609
206;17;6;0.66
207;17;7;0.609
208;17;26;0.721
209;17;8;0.6
210;17;9;0.608
211;17;12;0.61
212;17;10;0.601
213;17;11;0.61
214;17;30;0.67
215;17;14;0.606
216;17;31;0.651
217;17;13;0.641
218;17;15;0.625
219;17;16;0.7000000000000001
220;17;17;0.5650000000000001
221;17;18;0.652
222;17;27;0.6990000000000001
223;17;19;0.68
224;17;20;0.684
225;17;28;0.731
226;17;21;0.631
227;17;22;0.588
228;17;23;0.611
229;17;24;0.676
230;17;32;0.686
231;17;33;0.67
232;18;29;0.712
233;18;1;0.661
234;18;25;0.6910000000000001
235;18;2;0.685
236;18;3;0.727
237;18;4;0.66
238;18;5;0.617
239;18;6;0.67
240;18;7;0.612
241;18;26;0.724
242;18;8;0.604
243;18;9;0.623
244;18;12;0.615
245;18;10;0.611
246;18;11;0.616
247;18;30;0.673
248;18;14;0.61
249;18;31;0.654
250;18;13;0.648
251;18;15;0.634
252;18;16;0.708
253;18;17;0.578
254;18;18;0.657
255;18;27;0.7020000000000001
256;18;19;0.6920000000000001
257;18;20;0.6940000000000001
258;18;28;0.733
259;18;21;0.639
260;18;22;0.608
261;18;23;0.616
262;18;24;0.681
263;18;32;0.68
264;18;33;0.673
265;19;29;0.714
266;19;1;0.668
267;19;25;0.6930000000000001
268;19;2;0.68
269;19;3;0.729
270;19;4;0.667
271;19;5;0.624
272;19;6;0.678
273;19;7;0.613
274;19;26;0.725
275;19;8;0.606
276;19;9;0.637
277;19;12;0.62
278;19;10;0.62
279;19;11;0.622
280;19;30;0.675
281;19;14;0.613
282;19;31;0.656
283;19;13;0.653
