'Row_Id','IdAño','IdPais','Inmigrantes'
137,32,20,2
138,33,20,1
139,34,20,1
140,35,20,2
141,36,20,3
142,37,20,3
143,38,20,4
144,39,20,14
145,41,20,3
146,29,22,5
147,34,22,1
148,36,22,1
149,38,22,1
150,39,22,2
151,29,14,1
152,39,14,1
153,41,14,3
154,27,23,8
155,29,23,9
156,30,23,3
157,31,23,4
158,32,23,2
159,33,23,2
160,34,23,3
161,35,23,4
162,36,23,3
163,37,23,44
164,38,23,43
165,39,23,7
166,41,23,9
167,27,25,22
168,28,25,53
169,29,25,66
170,30,25,97
171,31,25,81
172,32,25,87
173,33,25,98
174,34,25,91
175,35,25,82
176,36,25,102
177,37,25,161
178,38,25,154
179,39,25,173
180,41,25,107
181,27,28,1
182,29,28,1
183,33,28,3
184,34,28,4
185,35,28,1
186,36,28,2
187,37,28,2
188,38,28,1
189,39,28,3
190,41,28,1
191,30,29,1
192,35,29,1
193,36,29,1
194,27,31,141
195,28,31,114
196,29,31,155
197,30,31,193
198,31,31,250
199,32,31,225
200,33,31,298
201,34,31,472
202,35,31,602
203,36,31,810
204,37,31,926
205,38,31,870
206,39,31,1151
207,41,31,830
208,27,32,1
209,34,32,1
210,36,32,1
211,38,32,2
212,39,32,1
213,27,34,658
214,28,34,1113
215,29,34,1480
216,30,34,2255
217,31,34,3002
218,32,34,3711
219,33,34,3117
220,34,34,3731
221,35,34,4569
222,36,34,5298
223,37,34,6141
224,38,34,6113
225,39,34,7780
226,41,34,3833
227,28,26,9
228,29,26,8
229,30,26,5
230,31,26,6
231,32,26,6
232,33,26,11
233,34,26,2
234,35,26,2
235,36,26,11
236,37,26,3
237,38,26,6
238,39,26,9
239,41,26,3
240,31,255,1
241,27,136,2
242,28,136,3
243,29,136,3
244,31,136,1
245,32,136,1
246,33,136,1
247,34,136,4
248,35,136,1
249,36,136,3
250,38,136,3
251,39,136,3
252,41,136,1
253,28,35,1
254,32,35,2
255,35,35,2
256,38,35,1
257,27,37,3
258,29,37,3
259,30,37,3
260,31,37,1
261,32,37,1
262,33,37,1
263,34,37,2
264,35,37,1
265,36,37,5
266,37,37,1
267,38,37,1
268,39,37,7
269,41,37,4
270,33,183,1
271,34,183,14
272,35,183,5
273,36,183,4
274,39,183,5
275,41,183,6
276,27,24,5
277,28,24,17
278,29,24,33
279,30,24,9
280,31,24,4
281,32,24,10
282,33,24,11
283,34,24,5
284,35,24,5
285,36,24,3
286,37,24,2
287,38,24,8
288,39,24,18
289,29,43,1
290,30,43,3
291,31,43,1
292,34,43,1
293,35,43,2
294,36,43,2
295,38,43,1
296,39,43,1
297,27,44,1
298,28,44,2
299,29,44,2
300,30,44,1
301,31,44,2
302,33,44,2
303,34,44,1
304,35,44,1
305,36,44,2
306,37,44,3
307,39,44,2
308,41,44,2
309,27,45,632
310,28,45,1309
311,29,45,2041
312,30,45,2621
313,31,45,3169
314,32,45,3796
315,33,45,4240
316,34,45,4195
317,35,45,4767
318,36,45,5246
319,37,45,6017
320,38,45,6669
321,39,45,7845
322,41,45,3562
323,28,42,2
324,30,42,1
325,31,42,1
326,32,42,2
327,33,42,1
328,35,42,11
329,36,42,3
330,37,42,2
331,38,42,1
332,41,42,2
333,27,116,12
334,28,116,29
335,29,116,52
336,30,116,51
337,31,116,43
338,32,116,17
339,33,116,22
340,34,116,28
341,35,116,23
342,36,116,16
343,37,116,21
344,38,116,20
345,39,116,15
346,41,116,8
347,29,214,2
348,32,214,1
349,33,214,2
350,35,214,3
351,37,214,1
352,38,214,1
353,39,214,8
354,41,214,1
355,28,243,3
356,31,243,1
357,38,243,2
358,41,243,1
359,37,47,1
360,39,47,1
361,41,47,1
362,27,49,523
363,28,49,1120
364,29,49,1552
365,30,49,2207
366,31,49,3231
367,32,49,3629
368,33,49,5362
369,34,49,6860
370,35,49,9155
371,36,49,12002
372,37,49,14708
373,38,49,17546
374,39,49,21773
375,41,49,17665
376,27,50,38
377,28,50,1034
378,29,50,83
379,30,50,102
380,31,50,147
381,32,50,144
382,33,50,166
383,34,50,138
384,35,50,181
385,36,50,227
386,37,50,241
387,38,50,196
388,39,50,243
389,41,50,158
390,27,252,7
391,28,252,4
392,29,252,6
393,30,252,14
394,31,252,14
395,32,252,8
396,33,252,6
397,34,252,3
398,35,252,6
399,36,252,13
400,37,252,13
401,38,252,6
402,39,252,11
403,41,252,5
404,34,118,1
405,26,53,2
406,27,53,7
407,29,53,2
408,30,53,4
409,31,53,7
410,32,53,2
411,33,53,12
412,34,53,424
413,35,53,158
414,36,53,273
415,37,53,186
416,38,53,4300
417,39,53,2149
418,41,53,15
419,38,55,2
420,41,55,1
421,27,61,700
422,28,61,1219
423,29,61,1648
424,30,61,1896
425,31,61,2017
426,32,61,1997
427,33,61,1619
428,34,61,1737
429,35,61,1417
430,36,61,1683
431,37,61,1924
432,38,61,2238
433,39,61,2326
434,41,61,1035
435,27,62,11
436,29,62,2
437,30,62,3
438,31,62,6
439,32,62,1
440,33,62,1
441,34,62,3
442,35,62,2
443,36,62,1
444,37,62,3
445,38,62,4
446,39,62,2
447,41,62,1
448,27,63,217
449,28,63,345
450,29,63,385
451,30,63,468
452,31,63,493
453,32,63,585
454,33,63,589
455,34,63,631
456,35,63,1068
457,36,63,2199
458,37,63,900
459,38,63,921
460,39,63,1115
461,41,63,266
462,27,51,1
463,28,51,2
464,29,51,2
465,31,51,4
466,32,51,1
467,35,51,1
468,36,51,2
469,37,51,1
470,38,51,2
471,39,51,1
472,41,51,1
473,27,215,6
474,28,215,6
475,29,215,8
476,30,215,24
477,31,215,32
478,32,215,6
479,33,215,8
480,34,215,6
481,35,215,9
482,36,215,4
483,37,215,17
484,38,215,9
485,39,215,20
486,41,215,11
487,32,27,1
488,36,27,3
489,37,27,1
490,39,27,1
491,27,64,19
492,28,64,9
493,29,64,10
494,30,64,27
495,31,64,15
496,32,64,14
497,33,64,15
498,34,64,21
499,35,64,17
500,36,64,30
501,37,64,26
502,38,64,44
503,39,64,33
504,41,64,29
505,27,66,5
506,28,66,3
507,29,66,1
508,30,66,19
509,31,66,21
510,32,66,5
511,33,66,6
512,34,66,3
513,36,66,1
514,37,66,2
515,38,66,5
516,39,66,1
517,41,66,7
518,27,216,271
519,28,216,480
520,29,216,796
521,30,216,1411
522,31,216,1025
523,32,216,960
524,33,216,980
525,34,216,1046
526,35,216,1118
527,36,216,1456
528,37,216,2132
529,38,216,1956
530,39,216,2603
531,41,216,1537
532,26,67,2
533,27,67,7819
534,28,67,11267
535,29,67,10067
536,30,67,12951
537,31,67,13677
538,32,67,12306
539,33,67,12631
540,34,67,14534
541,35,67,14884
542,36,67,16477
543,37,67,18322
544,38,67,17315
545,39,67,20583
546,41,67,8338
547,27,69,50
548,28,69,53
549,29,69,65
550,30,69,99
551,31,69,245
552,32,69,659
553,33,69,835
554,34,69,1376
555,35,69,1588
556,36,69,1454
557,37,69,1726
558,38,69,1994
559,39,69,1701
560,41,69,482
561,28,96,1
562,29,96,1
563,31,96,1
564,32,96,3
565,33,96,6
566,34,96,4
567,35,96,6
568,36,96,12
569,37,96,9
570,38,96,7
571,39,96,3
572,41,96,4
573,27,78,3
574,28,78,2
575,30,78,2
576,32,78,2
577,33,78,3
578,34,78,1
579,35,78,6
580,36,78,1
581,38,78,1
582,39,78,3
583,41,78,6
584,27,71,1
585,28,71,1
586,29,71,3
587,30,71,7
588,31,71,2
589,32,71,1
590,33,71,2
591,34,71,1
592,36,71,1
593,37,71,2
594,38,71,2
595,30,77,4
596,31,77,1
597,32,77,2
598,33,77,1
599,34,77,1
600,35,77,1
601,36,77,1
602,37,77,1
603,39,77,2
604,39,126,1
605,32,79,1
606,27,81,2
607,28,81,5
608,29,81,20
609,30,81,9
610,31,81,18
611,32,81,6
612,33,81,21
613,34,81,2
614,35,81,16
615,36,81,13
616,37,81,15
617,38,81,12
618,39,81,12
619,41,81,12
620,28,114,1
621,34,114,1
622,35,114,1
623,37,114,1
624,27,82,1303
625,28,82,4275
626,29,82,3050
627,30,82,4071
628,31,82,3921
629,32,82,3696
630,33,82,3283
631,34,82,3077
632,35,82,3006
633,36,82,2861
634,37,82,2960
635,38,82,2999
636,39,82,2914
637,41,82,1221
638,27,99,1
639,30,99,1
640,31,99,1
641,32,99,1
642,33,99,1
643,34,99,2
