'Row_Id';'IdAño';'IdDepartamento';'EsperanzaDeVida'
119;14;15;69.34
120;14;16;69.34
121;14;17;69.34
122;14;18;69.34
123;14;27;72.96
124;14;19;69.34
125;14;20;69.34
126;14;28;73.32
127;14;21;69.34
128;14;22;69.34
129;14;23;69.34
130;14;24;69.34
131;14;32;71.4
132;14;33;70.45
133;15;29;71.62
134;15;1;69.61
135;15;25;71.6
136;15;2;69.61
137;15;3;69.61
138;15;4;69.61
139;15;5;69.61
140;15;6;69.61
141;15;7;69.44
142;15;26;73.81
143;15;8;69.61
144;15;9;69.61
145;15;12;69.61
146;15;10;69.61
147;15;11;69.61
148;15;30;71.83
149;15;14;69.61
150;15;31;71.93
151;15;13;69.61
152;15;15;69.61
153;15;16;69.61
154;15;17;69.61
155;15;18;69.61
156;15;27;73.24
157;15;19;69.61
158;15;20;69.61
159;15;28;73.6
160;15;21;69.61
161;15;22;69.61
162;15;23;69.61
163;15;24;69.61
164;15;32;71.68
165;15;33;70.73
166;16;29;71.95
167;16;1;69.93
168;16;25;71.93
169;16;2;69.93
170;16;3;69.93
171;16;4;69.93
172;16;5;69.93
173;16;6;69.93
174;16;7;69.76
175;16;26;74.15
176;16;8;69.93
177;16;9;69.93
178;16;12;69.93
179;16;10;69.93
180;16;11;69.93
181;16;30;72.16
182;16;14;69.93
183;16;31;72.26
184;16;13;69.93
185;16;15;69.93
186;16;16;69.93
187;16;17;69.93
188;16;18;69.93
189;16;27;73.58
190;16;19;69.93
191;16;20;69.93
192;16;28;73.94
193;16;21;69.93
194;16;22;69.93
195;16;23;69.93
196;16;24;69.93
197;16;32;72.01
198;16;33;71.05
199;17;29;71.85
200;17;1;70.19
201;17;25;71.83
202;17;2;70.19
203;17;3;70.19
204;17;4;70.19
205;17;5;70.19
206;17;6;70.19
207;17;7;69.66
208;17;26;74.04
209;17;8;70.19
210;17;9;70.19
211;17;12;70.19
212;17;10;70.19
213;17;11;70.19
214;17;30;72.06
215;17;14;70.19
216;17;31;72.16
217;17;13;70.19
218;17;15;70.19
219;17;16;70.19
220;17;17;70.19
221;17;18;70.19
222;17;27;73.47
223;17;19;70.19
224;17;20;70.19
225;17;28;73.83
226;17;21;70.19
227;17;22;70.19
228;17;23;70.19
229;17;24;70.19
230;17;32;71.91
231;17;33;70.95
232;18;29;71.79
233;18;1;70.49
234;18;25;71.77
235;18;2;70.49
236;18;3;70.49
237;18;4;70.49
238;18;5;70.49
239;18;6;70.49
240;18;7;69.61
241;18;26;73.99
242;18;8;70.49
243;18;9;70.49
244;18;12;70.49
245;18;10;70.49
246;18;11;70.49
247;18;30;72.01
248;18;14;70.49
249;18;31;72.1
250;18;13;70.49
251;18;15;70.49
252;18;16;70.49
253;18;17;70.49
254;18;18;70.49
255;18;27;73.42
256;18;19;70.49
257;18;20;70.49
258;18;28;73.78
259;18;21;70.49
260;18;22;70.49
261;18;23;70.49
262;18;24;70.49
263;18;32;71.86
264;18;33;70.9
265;19;29;71.68
266;19;1;70.74
267;19;25;71.66
268;19;2;70.74
269;19;3;70.74
270;19;4;70.74
271;19;5;70.74
272;19;6;70.74
273;19;7;69.5
274;19;26;73.87
275;19;8;70.74
276;19;9;70.74
